,Name,Team,GP,MPG,ORPM,DRPM,RPM,WINS
284,"Garrett Temple, SG",WSH,75,8.5,-1.49,-0.13,-1.62,0.28
285,"Jason Collins, C",BKN,22,7.8,-3.59,1.93,-1.66,0.08
286,"Steve Blake, PG",GS/LAL,55,27.2,-1.31,-0.35,-1.66,0.67
287,"Kendall Marshall, PG",LAL,54,29.0,0.49,-2.16,-1.67,0.70
288,"Kris Humphries, PF",BOS,69,19.9,-2.32,0.64,-1.68,0.57
289,"Jose Calderon, PG",DAL,81,30.5,1.87,-3.56,-1.69,1.02
290,"Damion James, SF",SA,5,10.0,-2.48,0.78,-1.70,0.02
291,"Darren Collison, PG",LAC,80,25.9,1.51,-3.23,-1.72,0.82
292,"Miles Plumlee, C",PHX,80,24.6,-3.32,1.55,-1.77,0.72
293,"Jarvis Varnado, PF",CHI/PHI,24,14.1,-2.61,0.83,-1.78,0.13
294,"Casper Ware, PG",PHI,9,12.9,-0.84,-0.95,-1.79,0.04
295,"Quincy Miller, SF",DEN,52,15.2,-0.54,-1.26,-1.80,0.29
296,"Ian Clark, SG",UTAH,23,7.5,-1.67,-0.13,-1.80,0.06
297,"Spencer Hawes, PF",CLE/PHI,80,30.9,-2.24,0.39,-1.85,0.79
298,"Dwight Buycks, PG",TOR,14,10.4,-1.18,-0.67,-1.85,0.04
299,"DeJuan Blair, C",DAL,78,15.6,-2.09,0.20,-1.89,0.35
300,"Xavier Henry, SG",LAL,43,21.1,-1.92,0.03,-1.89,0.28
301,"Perry Jones, SF",OKC,62,12.3,-1.36,-0.55,-1.91,0.21
302,"Brandon Bass, PF",BOS,82,27.6,-1.49,-0.43,-1.92,0.61
303,"Glen Rice Jr., SG",WSH,11,9.9,-2.45,0.53,-1.92,0.03
304,"Ray McCallum, PG",SAC,45,19.9,0.40,-2.32,-1.92,0.23
305,"Tornike Shengelia, SF",CHI/BKN,26,6.0,-1.35,-0.59,-1.94,0.04
306,"Joel Freeland, C",POR,52,14.0,-3.00,1.03,-1.97,0.17
307,"Alexis Ajinca, C",NO,56,17.0,-2.89,0.92,-1.97,0.22
308,"Tobias Harris, SF",ORL,61,30.3,-0.94,-1.03,-1.97,0.42
309,"John Salmons, SF",SAC/TOR,78,22.1,-1.74,-0.25,-1.99,0.37
310,"Jonas Jerebko, PF",DET,64,11.6,-1.97,-0.02,-1.99,0.17
311,"Ricky Ledo, SG",DAL,11,3.0,-1.36,-0.64,-2.00,0.01
312,"Jermaine O'Neal, C",GS,44,20.1,-4.30,2.29,-2.01,0.18
313,"Drew Gooden, PF",WSH,22,18.0,-0.55,-1.47,-2.02,0.07
314,"Lou Williams, SG",ATL,60,24.1,1.70,-3.73,-2.03,0.28
315,"Royce White, PF",SAC,3,3.0,-2.03,0.00,-2.03,0.00
316,"Mirza Teletovic, PF",BKN,72,19.4,0.04,-2.08,-2.04,0.27
317,"Francisco Garcia, SG",HOU,55,19.7,-2.52,0.46,-2.06,0.20
318,"Tristan Thompson, C",CLE,82,31.6,-0.76,-1.30,-2.06,0.46
319,"Josh Powell, PF",HOU,1,19.0,-2.06,-0.02,-2.08,0.00
320,"Ramon Sessions, PG",MIL/CHA,83,26.7,0.90,-2.98,-2.08,0.37
321,"James Anderson, SG",PHI,80,28.9,-0.93,-1.15,-2.08,0.41
322,"Carrick Felix, SG",CLE,7,5.4,-1.26,-0.82,-2.08,0.01
323,"Justin Hamilton, C",MIA/CHA,8,9.0,-1.89,-0.22,-2.11,0.01
324,"Victor Claver, PF",POR,21,8.8,-1.99,-0.13,-2.12,0.02
325,"Greg Stiemsma, C",NO,55,18.3,-5.84,3.71,-2.13,0.13
326,"Rashard Lewis, PF",MIA,60,16.2,-1.89,-0.29,-2.18,0.10
327,"Tony Mitchell, PF",DET,21,3.8,-1.62,-0.58,-2.20,0.00
328,"Dorell Wright, SF",POR,68,14.5,-1.14,-1.09,-2.23,0.07
329,"Jon Leuer, PF",MEM,49,13.1,-1.15,-1.08,-2.23,0.05
330,"Scotty Hopson, SG",CLE,2,3.5,-1.55,-0.68,-2.23,0.00
331,"Quincy Acy, SF",SAC/TOR,63,13.4,-0.80,-1.44,-2.24,0.06
